GeneID	Symbol	dbXrefs
1	A1BG	MIM:138670|HGNC:HGNC:5|Ensembl:ENSG00000121410|Vega:OTTHUMG00000183507
2	A2M	MIM:103950|HGNC:HGNC:7|Ensembl:ENSG00000175899|Vega:OTTHUMG00000150267
3	A2MP1	HGNC:HGNC:8|Ensembl:ENSG00000256069
9	NAT1	MIM:108345|HGNC:HGNC:7645|Ensembl:ENSG00000171428|Vega:OTTHUMG00000097001
10	NAT2	MIM:612182|HGNC:HGNC:7646|Ensembl:ENSG00000156006|Vega:OTTHUMG00000130826
11	NATP	HGNC:HGNC:15
12	SERPINA3	MIM:107280|HGNC:HGNC:16|Ensembl:ENSG00000196136|Vega:OTTHUMG00000029851
13	AADAC	MIM:600338|HGNC:HGNC:17|Ensembl:ENSG00000114771|Vega:OTTHUMG00000159876
14	AAMP	MIM:603488|HGNC:HGNC:18|Ensembl:ENSG00000127837|Vega:OTTHUMG00000155202
15	AANAT	MIM:600950|HGNC:HGNC:19|Ensembl:ENSG00000129673|Vega:OTTHUMG00000180179
16	AARS	MIM:601065|HGNC:HGNC:20|Ensembl:ENSG00000090861|Vega:OTTHUMG00000177042
17	AAVS1	MIM:102699|HGNC:HGNC:22
18	ABAT	MIM:137150|HGNC:HGNC:23|Ensembl:ENSG00000183044|Vega:OTTHUMG00000048201
19	ABCA1	MIM:600046|HGNC:HGNC:29|Ensembl:ENSG00000165029|Vega:OTTHUMG00000020417
20	ABCA2	MIM:600047|HGNC:HGNC:32|Ensembl:ENSG00000107331|Vega:OTTHUMG00000020958
21	ABCA3	MIM:601615|HGNC:HGNC:33|Ensembl:ENSG00000167972|Vega:OTTHUMG00000128845
22	ABCB7	MIM:300135|HGNC:HGNC:48|Ensembl:ENSG00000131269|Vega:OTTHUMG00000021862
23	ABCF1	MIM:603429|HGNC:HGNC:70|Ensembl:ENSG00000204574|Vega:OTTHUMG00000031094
24	ABCA4	MIM:601691|HGNC:HGNC:34|Ensembl:ENSG00000198691|Vega:OTTHUMG00000010622
25	ABL1	MIM:189980|HGNC:HGNC:76|Ensembl:ENSG00000097007|Vega:OTTHUMG00000020813
26	AOC1	MIM:104610|HGNC:HGNC:80|Ensembl:ENSG00000002726|Vega:OTTHUMG00000158306
27	ABL2	MIM:164690|HGNC:HGNC:77|Ensembl:ENSG00000143322|Vega:OTTHUMG00000035199
28	ABO	MIM:110300|HGNC:HGNC:79|Ensembl:ENSG00000175164
29	ABR	MIM:600365|HGNC:HGNC:81|Ensembl:ENSG00000159842|Vega:OTTHUMG00000090313
30	ACAA1	MIM:604054|HGNC:HGNC:82|Ensembl:ENSG00000060971|Vega:OTTHUMG00000131087
31	ACACA	MIM:200350|HGNC:HGNC:84|Ensembl:ENSG00000278540|Vega:OTTHUMG00000188463
32	ACACB	MIM:601557|HGNC:HGNC:85|Ensembl:ENSG00000076555|Vega:OTTHUMG00000169250
33	ACADL	MIM:609576|HGNC:HGNC:88|Ensembl:ENSG00000115361|Vega:OTTHUMG00000132989
34	ACADM	MIM:607008|HGNC:HGNC:89|Ensembl:ENSG00000117054|Vega:OTTHUMG00000009784
35	ACADS	MIM:606885|HGNC:HGNC:90|Ensembl:ENSG00000122971|Vega:OTTHUMG00000169203
36	ACADSB	MIM:600301|HGNC:HGNC:91|Ensembl:ENSG00000196177|Vega:OTTHUMG00000019200
37	ACADVL	MIM:609575|HGNC:HGNC:92|Ensembl:ENSG00000072778|Vega:OTTHUMG00000102157
38	ACAT1	MIM:607809|HGNC:HGNC:93|Ensembl:ENSG00000075239|Vega:OTTHUMG00000166381
39	ACAT2	MIM:100678|HGNC:HGNC:94|Ensembl:ENSG00000120437|Vega:OTTHUMG00000015935
40	ASIC2	MIM:601784|HGNC:HGNC:99|Ensembl:ENSG00000108684|Vega:OTTHUMG00000132885
41	ASIC1	MIM:602866|HGNC:HGNC:100|Ensembl:ENSG00000110881|Vega:OTTHUMG00000169812
43	ACHE	MIM:100740|HGNC:HGNC:108|Ensembl:ENSG00000087085|Vega:OTTHUMG00000157033
46	ACLS	MIM:200990|HGNC:HGNC:114
47	ACLY	MIM:108728|HGNC:HGNC:115|Ensembl:ENSG00000131473|Vega:OTTHUMG00000133507
48	ACO1	MIM:100880|HGNC:HGNC:117|Ensembl:ENSG00000122729|Vega:OTTHUMG00000019740
49	ACR	MIM:102480|HGNC:HGNC:126|Ensembl:ENSG00000100312|Vega:OTTHUMG00000150155
50	ACO2	MIM:100850|HGNC:HGNC:118|Ensembl:ENSG00000100412|Vega:OTTHUMG00000030544
51	ACOX1	MIM:609751|HGNC:HGNC:119|Ensembl:ENSG00000161533|Vega:OTTHUMG00000180027
52	ACP1	MIM:171500|HGNC:HGNC:122|Ensembl:ENSG00000143727|Vega:OTTHUMG00000086933
53	ACP2	MIM:171650|HGNC:HGNC:123|Ensembl:ENSG00000134575|Vega:OTTHUMG00000166949
54	ACP5	MIM:171640|HGNC:HGNC:124|Ensembl:ENSG00000102575|Vega:OTTHUMG00000182036
55	ACPP	MIM:171790|HGNC:HGNC:125|Ensembl:ENSG00000014257|Vega:OTTHUMG00000159650
56	ACRV1	MIM:102525|HGNC:HGNC:127|Ensembl:ENSG00000134940|Vega:OTTHUMG00000165854
58	ACTA1	MIM:102610|HGNC:HGNC:129|Ensembl:ENSG00000143632|Vega:OTTHUMG00000038006
59	ACTA2	MIM:102620|HGNC:HGNC:130|Ensembl:ENSG00000107796|Vega:OTTHUMG00000018700
60	ACTB	MIM:102630|HGNC:HGNC:132|Ensembl:ENSG00000075624|Vega:OTTHUMG00000023268
62	ACTBP2	HGNC:HGNC:135
63	ACTBP3	HGNC:HGNC:136
64	ACTBP4	HGNC:HGNC:137
66	ACTBP6	HGNC:HGNC:139
67	ACTBP7	HGNC:HGNC:140
68	ACTBP8	HGNC:HGNC:141
69	ACTBP9	HGNC:HGNC:142
70	ACTC1	MIM:102540|HGNC:HGNC:143|Ensembl:ENSG00000159251|Vega:OTTHUMG00000129675
71	ACTG1	MIM:102560|HGNC:HGNC:144|Ensembl:ENSG00000184009|Vega:OTTHUMG00000177955
72	ACTG2	MIM:102545|HGNC:HGNC:145|Ensembl:ENSG00000163017|Vega:OTTHUMG00000129813
73	ACTG1P1	HGNC:HGNC:146
74	ACTG1P2	HGNC:HGNC:147
