GeneID	Symbol	dbXrefs
11287	Pzp	MGI:MGI:87854|Ensembl:ENSMUSG00000030359|Vega:OTTMUSG00000022212
11298	Aanat	MGI:MGI:1328365|Ensembl:ENSMUSG00000020804|Vega:OTTMUSG00000003949
11302	Aatk	MGI:MGI:1197518|Ensembl:ENSMUSG00000025375|Vega:OTTMUSG00000004053
11303	Abca1	MGI:MGI:99607|Ensembl:ENSMUSG00000015243|Vega:OTTMUSG00000007157
11304	Abca4	MGI:MGI:109424|Ensembl:ENSMUSG00000028125|Vega:OTTMUSG00000029911
11305	Abca2	MGI:MGI:99606|Ensembl:ENSMUSG00000026944|Vega:OTTMUSG00000012108
11306	Abcb7	MGI:MGI:109533|Ensembl:ENSMUSG00000031333|Vega:OTTMUSG00000018115
11307	Abcg1	MGI:MGI:107704|Ensembl:ENSMUSG00000024030|Vega:OTTMUSG00000025573
11308	Abi1	MGI:MGI:104913|Ensembl:ENSMUSG00000058835|Vega:OTTMUSG00000016621
11350	Abl1	MGI:MGI:87859|Ensembl:ENSMUSG00000026842|Vega:OTTMUSG00000012077
11352	Abl2	MGI:MGI:87860|Ensembl:ENSMUSG00000026596|Vega:OTTMUSG00000037114
11354	Scgb1b27	MGI:MGI:87862|Ensembl:ENSMUSG00000066583|Vega:OTTMUSG00000008372
11358	ac	MGI:MGI:87865
11363	Acadl	MGI:MGI:87866|Ensembl:ENSMUSG00000026003|Vega:OTTMUSG00000026221
11364	Acadm	MGI:MGI:87867|Ensembl:ENSMUSG00000062908|Vega:OTTMUSG00000031346
11370	Acadvl	MGI:MGI:895149|Ensembl:ENSMUSG00000018574|Vega:OTTMUSG00000006027
11409	Acads	MGI:MGI:87868|Ensembl:ENSMUSG00000029545|Vega:OTTMUSG00000014625
11416	Slc33a1	MGI:MGI:1332247|Ensembl:ENSMUSG00000027822|Vega:OTTMUSG00000026586
11418	Asic2	MGI:MGI:1100867|Ensembl:ENSMUSG00000020704|Vega:OTTMUSG00000000859
11419	Asic1	MGI:MGI:1194915|Ensembl:ENSMUSG00000023017
11421	Ace	MGI:MGI:87874|Ensembl:ENSMUSG00000020681|Vega:OTTMUSG00000003113
11423	Ache	MGI:MGI:87876|Ensembl:ENSMUSG00000023328|Vega:OTTMUSG00000021643
11425	Apoc4	MGI:MGI:87878|Ensembl:ENSMUSG00000074336|Vega:OTTMUSG00000032973
11426	Macf1	MGI:MGI:108559|Ensembl:ENSMUSG00000028649|Vega:OTTMUSG00000008977
11428	Aco1	MGI:MGI:87879|Ensembl:ENSMUSG00000028405|Vega:OTTMUSG00000006559
11429	Aco2	MGI:MGI:87880|Ensembl:ENSMUSG00000022477|Vega:OTTMUSG00000016391
11430	Acox1	MGI:MGI:1330812|Ensembl:ENSMUSG00000020777|Vega:OTTMUSG00000003754
11431	Acp1	MGI:MGI:87881|Ensembl:ENSMUSG00000044573
11432	Acp2	MGI:MGI:87882|Ensembl:ENSMUSG00000002103|Vega:OTTMUSG00000014413
11433	Acp5	MGI:MGI:87883|Ensembl:ENSMUSG00000001348|Vega:OTTMUSG00000062335
11434	Acr	MGI:MGI:87884|Ensembl:ENSMUSG00000022622
11435	Chrna1	MGI:MGI:87885|Ensembl:ENSMUSG00000027107|Vega:OTTMUSG00000013434
11438	Chrna4	MGI:MGI:87888|Ensembl:ENSMUSG00000027577|Vega:OTTMUSG00000016395
11440	Chrna6	MGI:MGI:106213|Ensembl:ENSMUSG00000031491|Vega:OTTMUSG00000061079
11441	Chrna7	MGI:MGI:99779|Ensembl:ENSMUSG00000030525|Vega:OTTMUSG00000059577
11443	Chrnb1	MGI:MGI:87890|Ensembl:ENSMUSG00000041189|Vega:OTTMUSG00000005993
11444	Chrnb2	MGI:MGI:87891|Ensembl:ENSMUSG00000027950|Vega:OTTMUSG00000052879
11447	Chrnd	MGI:MGI:87893|Ensembl:ENSMUSG00000026251|Vega:OTTMUSG00000048192
11448	Chrne	MGI:MGI:87894|Ensembl:ENSMUSG00000014609|Vega:OTTMUSG00000006059
11449	Chrng	MGI:MGI:87895|Ensembl:ENSMUSG00000026253|Vega:OTTMUSG00000048193
11450	Adipoq	MGI:MGI:106675|Ensembl:ENSMUSG00000022878|Vega:OTTMUSG00000035780
11451	Acrv1	MGI:MGI:104590|Ensembl:ENSMUSG00000032110|Vega:OTTMUSG00000044745
11452	act	MGI:MGI:87896
11459	Acta1	MGI:MGI:87902|Ensembl:ENSMUSG00000031972|Vega:OTTMUSG00000062000
11461	Actb	MGI:MGI:87904|Ensembl:ENSMUSG00000029580|Vega:OTTMUSG00000035960
11464	Actc1	MGI:MGI:87905|Ensembl:ENSMUSG00000068614|Vega:OTTMUSG00000015175
11465	Actg1	MGI:MGI:87906|Ensembl:ENSMUSG00000062825|Vega:OTTMUSG00000004137
11468	Actg2	MGI:MGI:104589|Ensembl:ENSMUSG00000059430|Vega:OTTMUSG00000029749
11470	Actl7a	MGI:MGI:1343051|Ensembl:ENSMUSG00000070979|Vega:OTTMUSG00000007270
11471	Actl7b	MGI:MGI:1343053|Ensembl:ENSMUSG00000070980|Vega:OTTMUSG00000007271
11472	Actn2	MGI:MGI:109192|Ensembl:ENSMUSG00000052374|Vega:OTTMUSG00000017028
11474	Actn3	MGI:MGI:99678|Ensembl:ENSMUSG00000006457|Vega:OTTMUSG00000016351
11475	Acta2	MGI:MGI:87909|Ensembl:ENSMUSG00000035783
11477	Acvr1	MGI:MGI:87911|Ensembl:ENSMUSG00000026836|Vega:OTTMUSG00000012677
11479	Acvr1b	MGI:MGI:1338944|Ensembl:ENSMUSG00000000532|Vega:OTTMUSG00000048171
11480	Acvr2a	MGI:MGI:102806|Ensembl:ENSMUSG00000052155|Vega:OTTMUSG00000012394
11481	Acvr2b	MGI:MGI:87912|Ensembl:ENSMUSG00000061393|Vega:OTTMUSG00000062989
11482	Acvrl1	MGI:MGI:1338946|Ensembl:ENSMUSG00000000530|Vega:OTTMUSG00000029275
11484	Aspa	MGI:MGI:87914|Ensembl:ENSMUSG00000020774|Vega:OTTMUSG00000006136
11486	Ada	MGI:MGI:87916|Ensembl:ENSMUSG00000017697|Vega:OTTMUSG00000001154
11487	Adam10	MGI:MGI:109548|Ensembl:ENSMUSG00000054693|Vega:OTTMUSG00000033211
11488	Adam11	MGI:MGI:1098667|Ensembl:ENSMUSG00000020926|Vega:OTTMUSG00000002992
11489	Adam12	MGI:MGI:105378|Ensembl:ENSMUSG00000054555|Vega:OTTMUSG00000021264
11490	Adam15	MGI:MGI:1333882|Ensembl:ENSMUSG00000028041|Vega:OTTMUSG00000022081
11491	Adam17	MGI:MGI:1096335|Ensembl:ENSMUSG00000052593|Vega:OTTMUSG00000021042
11492	Adam19	MGI:MGI:105377|Ensembl:ENSMUSG00000011256|Vega:OTTMUSG00000005488
11495	Adam2	MGI:MGI:1340894|Ensembl:ENSMUSG00000022039
11496	Adam22	MGI:MGI:1340046|Ensembl:ENSMUSG00000040537|Vega:OTTMUSG00000016341
11497	Adam3	MGI:MGI:102518|Ensembl:ENSMUSG00000031553|Vega:OTTMUSG00000035967
11498	Adam4	MGI:MGI:104731|Ensembl:ENSMUSG00000072972|Vega:OTTMUSG00000035309
11499	Adam5	MGI:MGI:104730|Ensembl:ENSMUSG00000031554|Vega:OTTMUSG00000031764
11500	Adam7	MGI:MGI:107247|Ensembl:ENSMUSG00000022056|Vega:OTTMUSG00000025841
11501	Adam8	MGI:MGI:107825|Ensembl:ENSMUSG00000025473|Vega:OTTMUSG00000021266
11502	Adam9	MGI:MGI:105376|Ensembl:ENSMUSG00000031555|Vega:OTTMUSG00000060065
11504	Adamts1	MGI:MGI:109249|Ensembl:ENSMUSG00000022893|Vega:OTTMUSG00000019935
